name,unit,price,cost,stock,lowAt,category
BOMD Gel Polish Set (120 pcs),ml,0,4.08,1800,180,Consumable
BOMD Cat Eye (32 pcs),ml,0,8.73,480,48,Consumable
Chrome Nail Art,pcs,0,0.155,1000,100,Consumable
Base & Top Coat,ml,0,4.53,90,9,Consumable
Gel Remover,pcs,0,132,3,1,Consumable
Nail File (10 pcs),pcs,0,0.169,1000,100,Consumable
Nail Buffer,pcs,0,0.60,150,15,Consumable
Nail Brush (24 pcs),pcs,0,0.845,200,20,Consumable
Regular Polish (48 pcs),ml,0,4.375,480,48,Consumable
Acetone,ml,0,0.137,3785,378,Consumable
Cuticle Remover,ml,0,0.049,3785,378,Consumable
Foot File,pcs,0,0.339,1000,100,Consumable
Foot Soak 1L,ml,0,0.252,1000,100,Consumable
Callous Remover,ml,0,0.075,3785,378,Consumable
Foot Scrub 1L,ml,0,0.273,1000,100,Consumable
Foot Moisturizing Lotion,pcs,0,56.50,6,1,Consumable
Foot Blush Spray,ml,0,0.226,1000,100,Consumable
Merthiolate,ml,0,0.057,3785,378,Consumable
Hand & Foot Mask,g,0,0.458,1000,100,Consumable
Cling Wrap,pcs,0,320,1,1,Consumable
Paraffin Wax,g,0,0.1236,2718,271,Consumable
Alcohol,ml,0,0.167,3785,378,Consumable
Cotton Balls (1600 pcs),pcs,0,0.187,1600,160,Consumable
Removal Wipes,pcs,0,0.385,800,80,Consumable
Hard Wax Beans,g,0,0.371,1200,120,Consumable
After Wax Treatment Powder,g,0,2.74,198,19,Consumable
Depilatory Paper,pcs,0,0.615,600,60,Consumable
Latex Gloves,pcs,0,1.49,400,40,Consumable
Wax Stick,pcs,0,1.50,100,10,Consumable
Soft Wax Cartridge,g,0,0.321,750,75,Consumable
Pre Wax Cleanser,ml,0,0.934,470,47,Consumable
Aloe Vera Gel after wax,ml,0,0.234,2350,235,Consumable
Oil Control Facial Wash,ml,0,0.383,1000,100,Consumable
Hydrating Facial Wash,ml,0,0.614,1000,100,Consumable
Natural Anti-Acne Facial Wash Tea Tree,ml,0,0.394,1000,100,Consumable
Glass Skin Foamy Wash,ml,0,0.614,1000,100,Consumable
Pore Tightening Gel,g,0,0.862,1000,100,Consumable
Sunscreen Cream Gel SPF50,g,0,1.061,1000,100,Consumable
Collagen & Elastin Cream,g,0,0.683,1000,100,Consumable
Glass Skin Moisturizing Cream,g,0,0.683,1000,100,Consumable
Anesthesia Numbing Cream,g,0,1.80,500,50,Consumable
Orange Papaya Whitening Scrub,g,0,0.672,1000,100,Consumable
Lavender Scrub Anti Aging,g,0,0.599,1000,100,Consumable
Tea Tree Salt Scrub,g,0,0.525,1000,100,Consumable
Facial Gauze,pcs,0,2.99,200,20,Consumable
Compress Mask,pcs,0,1.80,100,10,Consumable
Seaweed Mask 1kg,g,0,1.496,1000,100,Consumable
Whitening Mask 1kg,g,0,1.496,1000,100,Consumable
Hydrocortisone 1% Cream,g,0,1.381,1000,100,Consumable
Facial Tissue,pcs,0,0.419,640,64,Consumable
Collagen Mask,g,0,1.496,1000,100,Consumable
Sheet Face Mask,pcs,0,5.00,50,5,Consumable
Wilkins Water,L,0,22.79,28,3,Consumable
Frozen Collagen Mask,pcs,0,4.25,20,2,Consumable
24K Mask Sheet,pcs,0,6.00,15,1,Consumable
Sponge,pcs,0,2.53,60,6,Consumable
RF Cream,g,0,0.599,1000,100,Consumable
Razor,pcs,0,10.74,24,2,Consumable
Carbon Cream Lotion,g,0,1.66,160,16,Consumable
Ultrasound Gel,ml,0,0.153,3785,378,Consumable
Massage Table Sheets,pcs,0,4.80,300,30,Consumable
Grounding Pad,pcs,0,50.30,40,4,Consumable
Niacinamide Toner,ml,0,0.735,1000,100,Consumable
Glutathione Toner,ml,0,0.480,1000,100,Consumable
Collagen and Elastin Toner,ml,0,0.462,1000,100,Consumable
Hydrocortizone,pcs,0,64,10,1,Consumable
Clyndamicine,pcs,0,60,10,1,Consumable
Instant Whitening Set,pcs,0,210,10,1,Consumable
